subject,negLL,alpha_rw_opt,alpha_ck_op,beta_opt,BIC,optimal_init_params,Q_init,CK_init,group
6833,1100.3388417560438,0.01,0.01,1.7333333333333336,2224.2674836841165,"(0.0, 0.0, 1.7333333333333336)","[[0.9302665397002823, 0.7927081404341275], [0.9622449858646591, 0.3244455298634259], [0.9414801494009997, 0.9881116709556151], [0.9999999999999997, 0.0]]","[[0.4165666952355132, 0.583433304764487], [0.8622707848211207, 0.13772921517887887], [0.02181669017193959, 0.9781833098280606], [0.9296015359744415, 0.07039846402555823]]",Easy
6951,1169.320197044769,0.01,0.01,1.7333333333333336,2362.230194261567,"(0.0, 0.0, 1.7333333333333336)","[[0.9029401887907654, 0.7982726931877755], [0.999026837264039, 0.15422195179384487], [0.6757290490602831, 0.9998146078332082], [0.9999999999999997, 0.0]]","[[0.4145814396760101, 0.5854185603239902], [0.9491071818856813, 0.050892818114318665], [0.009472176756329794, 0.9905278232436701], [0.9635195578225539, 0.03648044217744572]]",Easy
8012,1284.8962012670759,0.01,0.01,1.7333333333333336,2593.3822027061806,"(0.0, 0.0, 1.7333333333333336)","[[0.8946997055442736, 0.8318666637965904], [0.7315907193036312, 0.9866773144411405], [0.9877543601085408, 0.3147508100262106], [0.9999999999999997, 0.0]]","[[0.4729041438329529, 0.5270958561670471], [0.04762445842847208, 0.9523755415715278], [0.8560977117590006, 0.14390228824099932], [0.9208836946412685, 0.07911630535873146]]",Easy
8332,1122.2675855404086,0.0480514203902074,0.0699912027521354,1.1844762406486928,2268.124971252846,"(0.0, 0.0, 0.1)","[[0.9956985830068923, 0.9904203552651091], [0.28702815624554434, 0.99999999999017], [0.999999999344507, 0.0017880651021878649], [0.9999999999999997, 0.0]]","[[0.5020071554708154, 0.49799284452918463], [0.00012063959236326892, 0.9998793604076367], [0.9956509090038663, 0.004349090996133736], [0.9803122784996885, 0.019687721500311332]]",Easy
8451,1557.6219424463654,0.01,0.01,1.7333333333333336,3138.8336850647597,"(0.0, 0.0, 1.7333333333333336)","[[0.8807345803171741, 0.8275067360625015], [0.15086099074359643, 0.9999999999997842], [0.9999999999529031, 0.00029585789302553363], [0.9999999999999997, 0.0]]","[[0.45672406173261043, 0.54327593826739], [0.053226744082120324, 0.9467732559178798], [0.7454048948010346, 0.2545951051989658], [0.8612609797989157, 0.1387390202010843]]",Easy
422,1422.3210797331144,0.589902966538436,0.11726817551821232,0.7967991566132723,2868.2319596382576,"(1.0, 0.6666666666666666, 0.1)","[[0.6584000658047162, 0.9833148006769227], [1.0, 2.8150644895662236e-50], [2.2574100355843018e-29, 1.0], [1.0, 0.0]]","[[0.7084168014629707, 0.2915831985370294], [0.9369765179627944, 0.06302348203720554], [0.8637339021959761, 0.136266097804024], [0.9988700076778777, 0.0011299923221222915]]",Hard
441,1349.389225153223,0.01,0.05429853236089566,0.6658965026857806,2722.3682504784747,"(0.0, 0.6666666666666666, 0.1)","[[0.7867147201594121, 0.74586997049472], [1.0, 4.0465126813609895e-51], [1.922089317345814e-29, 1.0], [1.0, 0.0]]","[[0.43314458599131955, 0.5668554140086804], [0.6881236081991475, 0.31187639180085236], [0.03698824799108496, 0.9630117520089152], [0.6322809981563162, 0.3677190018436839]]",Hard
532,1609.8301487080937,0.01,0.01,1.7333333333333336,3243.2500975882162,"(0.0, 0.0, 1.7333333333333336)","[[0.6595876659577636, 0.6540013551130305], [0.7471720943315964, 0.9845614766853642], [0.9388235744602944, 0.19432859888279536], [1.0, 0.0]]","[[0.49356302552787573, 0.5064369744721243], [0.07427883478730572, 0.9257211652126947], [0.6144011834602795, 0.3855988165397204], [0.4642768097777039, 0.5357231902222962]]",Hard
849,1503.553839083861,0.01,0.05807050472153108,1.373666845448457,3030.697478339751,"(0.0, 0.3333333333333333, 0.1)","[[0.7684342569478296, 0.725690067796426], [0.3310330883210142, 0.999598041333396], [0.995903136966353, 0.034497703895164065], [1.0, 0.0]]","[[0.40106723909862957, 0.5989327609013703], [0.11168979426571887, 0.8883102057342811], [0.7924600929831492, 0.20753990701685077], [0.888861131036244, 0.111138868963756]]",Hard
4151,1497.400941530972,0.01,0.030690938319960503,0.7261721321923869,3018.274021094513,"(0.3333333333333333, 0.3333333333333333, 0.1)","[[0.5934214263686599, 0.6165971971209319], [0.9684859808228716, 0.2599809177724678], [0.1840474449620565, 0.9415246804671881], [1.0, 0.0]]","[[0.3522351901399039, 0.6477648098600961], [0.7635271714330387, 0.23647282856696128], [0.24338986204820073, 0.7566101379517994], [0.6625831508702368, 0.33741684912976333]]",Hard
